,locations,text
608,India,RT @tictoc: Welcome back to the ocean: Rescue workers return turtles to the sea after being stranded inland by a tsunami in Indonesia https…
609,Ahmedabad,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
610,cali,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
611,Mumbai.,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
612,"Houston, TX","On Oct 4 2018 God showed a Tsunami coming to Indonesia again. I said, ""If you think that the tsunami they had in In… https://t.co/NZko3OAyrH"
613,Karnataka (ಕರ್ನಾಟಕ) ,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
614,"Islamabad, Pakistan","RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
615,Apni Aukaat Mein.....!,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
616,Deharadun,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
617,Bharat,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
618,"New Orleans, LA",RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
619,"Texas, USA",had a dream we lived on the beach and a tsunami was coming and Dj straight up left me there alone to fend for myself
620,jax fl ; 17,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
621,"Sialkot, Pakistan","RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
622,"Tolleson, AZ",RT @triley45: Mood 😂 https://t.co/xaN4IbwBtj
623,"Massachusetts, USA",@Bishopoftyler Archbishop Vigano is showing us the path of sainthood in a theological tsunami.  A rock star!  Thank… https://t.co/0uPeTszeNh
624,"Minneapolis, MN",@Annehah Fun fact: Once you learn C and G you can play Tsunami by told slant and Anything Else But You by the Moldy Peaches
625,"Rio Grande Valley, Texas","RT @JohnKasich: In 2017, I talked about the need to get ahead of the tsunami of change that is coming our way with AI and automation. Tonig…"
626,Hope World,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
627,Jamaica,On this day in Jamaican History: Earthquake in Jamaica – Tsunami on North Coast https://t.co/lK9jdi0o3g https://t.co/WAwWl1N6Wk
628,The Resistance,@ya_pheq @sueytonius @RoryRobertRoss1 @RoyPentland @EddyKurrents @SylviaD32911201 @JaggerMickOZ @StormSignalSA… https://t.co/FCXwqF2fqN
629,"Omaha, NE","RT @tictoc: California’s deadliest wildfire in history, the Indonesian tsunami and other natural disasters pushed global catastrophe costs…"
630,"Srinagar, Jammu & Kashmir",RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
631,AtraTatraSarvatra ,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
632,"Navi Mumbai, India","RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
633,India,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
634,"Kaduna, Nigeria",Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
635,"Bangalore, Karnataka, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
636,Visit the Gander News Network at:,Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. https://t.co/zTJexUKfJH
637,Grandma's Kitchen ,Damn she’s beautiful...
638,"Eagle, ID",Challenge - Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying.… https://t.co/zTDNicN4N7
639,Revelation ,"#earthquake #tsunami DisasterPreparedness: After a Major Disaster (When the Cellphones Crash)

Another Great option… https://t.co/eT4hTx19mz"
640,"Abuja, Nigeria",RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
641,London,Really sad.
642,"Kianyaga, Kenya","RT @EustaceJoel: #NTVfakenewsagain kindly @ntvkenya what is it are people claim they are brainwashed from ? Is it our clothing, or Bible ba…"
643,Deharadun,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
644,Nigeria,RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
645,"Connecticut, USA","RT @BobHallReboot: “Civility” is not the problem. Toxic racism/xenophobia, destruction of democratic norms and institutions are the problem…"
646,philadelphia,thank you to everyone who reached out yesterday. they say that grieving comes in waves and yesterday felt like a go… https://t.co/LOZ86kKGVr
647,"Kano, Nigeria",RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
648,"Los Angeles, CA",RT @baddgirlsrunit: Damn she’s beautiful... https://t.co/eGTwPTlhRy
649,"Utah, USA","RT @zelphontheshelf: In 2004, LDS leaders encouraged members to donate to their humanitarian fund to help victims of the tsunami. 

Members…"
650,philadelphia,thank you to everyone who reached out yesterday. they say that grieving comes in waves and yesterday felt like a go… https://t.co/rfDek8RHiX
651,"Ann Arbor, MI",@M_Vernon Chiefs fans are usually so liquored up and full of BBQ during cold weather games from tailgating that a t… https://t.co/ljEZIoiPbk
652,Endou's pants,"Tsunami-san, can you invite Fudou-san too?//"
653,"Lagos, Nigeria",RT @docolumide: @c_kiruStrategy I'm a lot wiser now! (The fact that we're able to engineer this pivot &amp; stay ahead of the ecommerce tsunami…
654,Jammu || Delhi,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
655,"Missoula, Montana",RT @WriterMera: Cutting a pain patient's medicine without warning creates a CATASTROPHIC tsunami in their life as SEVERE pain rapidly spira…
656,23 Asia-Pacific offices,"RT @OCHAAsiaPac: 5,000 people displaced by conflict in Rakhine State #Myanmar and 133,000 remain displaced across Central Sulawesi #Indones…"
657,"London, England","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
658,"Leeds, Yorkshire, England",@GlitteredDecay I'm like a cum tsunami.
659,"Port Blair, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
660,BHOPAL & DELHI ,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
661,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
662,FOLLOWS YOU,"RT @MumbaiPolice: Tsunami - T is silent 
Honest - H is silent 
Island- S is silent 
Queue - Ueue is silent 
Being blackmailed - You are sil…"
663,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
664,UK Registered Charity 1123125,"Campaigns like @InquiryCSA can help survivors reach out 4 help. For some it will be cathartic, 4 others it will be… https://t.co/5pGSkzqcYf"
665,United States,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
666,ठिकाना मिला नही है अभी तक ।,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
667,"Port Blair, India",RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
668,GOT7's Mexican Paradise,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
669,"Portland, Oregon","RT @BobHallReboot: “Civility” is not the problem. Toxic racism/xenophobia, destruction of democratic norms and institutions are the problem…"
670,"New Delhi, India",RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
671,india,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
672,India,"Post-Tsunami 2004 Southern tip of India, Indira Point."
673,"Planet, Earth","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
674,"New Delhi, India","RT @rocksnsands: Tsunami- T is silent 
Honest- H is silent 
Island- S is silent 
Queue- Ueue is silent 
RAFALE- GOVT IS SILENT
@narendramod…"
675,"Reno, NV","Russian Navy To Deploy 30 Poseidon Strategic Underwater Nuclear Drones
 
Poseidon, previously known by the Russian… https://t.co/K8g2Pt3wpp"
676,India,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
677,France,RT @AJIIndonesia: @CFImedias and @AJIIndonesia distributed work equipment to support journalists who were victims of Palu and Donggala eart…
678,Ahmedabad,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
679,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
680,Arkansas,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
681,"Blackpool, England","In 2011, an earthquake struck offshore of Japan along a subduction zone where two of Earth's tectonic plates collid… https://t.co/9nMeEIriJO"
682,China.Hong Kong.Malaysia.,The 'silver tsunami': Ten nonagenarians who shaped Asia in 2018 https://t.co/8bKTzrL90L
683,"Ibadan, Nigeria","🏄‍♂️Dear Friends

🕺Let's enjoy this Tsunami
🎼Gain f0ll0wers🏃‍♂️

🏂Retweet &amp; like
🍎Follow Me🍏
🙋‍♂️MY follow back💯… https://t.co/yKq3sTTR69"
684,"Peterborough, Ontario","RT @EustaceJoel: #NTVfakenewsagain kindly @ntvkenya what is it are people claim they are brainwashed from ? Is it our clothing, or Bible ba…"
685,malaysia,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
686,Lagos,RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
687,the bay,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
688,"Moriches, NY","RT @doomalert19: #earthquake #tsunami DisasterPreparedness: After a Major Disaster (When the Cellphones Crash)

Another Great option we sho…"
689,the bay,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
690,Inside the Beltway,“Tsunami bomb” is not a place I expected the Russians to go next
691,"Benton, AR",Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. https://t.co/xv0CaV8Fsx
692,Delhi,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
693,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
694,LA 🌴 ⚢ ☀️,Can't tell if this loud ass alarm is a fire alarm or a Tsunami warning...should I leave work. https://t.co/pMBUKSRK9t
695,"Boston, CA",It's embarrassing just reading this. https://t.co/EFUyMXsRn3
696,South Africa,"RT @MzwaneleManyi: Dear South Africa
This cartoon has unwittingly confirmed which parties will soon be working together as opposition to th…"
697,"Toronto, Canada ","I'm on #MarieKondo side. 
2 years ago tsunami of sarcastic articles about her book sparked my interest to read it.… https://t.co/DEKVu3LjlD"
698,the bay,"GOOD MORNING TO THE COVER ART OF ASTER AND IVY'S NEW SINGLE ""TSUNAMI"" AND THE COVER ART ONLY. WOW. SHE'S PRETTY. https://t.co/ue4gdrybtV"
699,"Lagos, Nigeria",RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
700,you did well jonghyun♡,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
701,"Mumbai, India","RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
702,"Cochin, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
703,Texas & Florida,"RT @BB_Writes: :
How many unspoken words
have you stashed
inside your ribcage?
Each subject, a matchstick
Each verb, a wave...

Can you ima…"
704,In front of you,RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
705,Delhi indirapuram,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
706,"Syracuse, NY",RT @RobZacny: It's embarrassing just reading this. https://t.co/EFUyMXsRn3
707,God's Country ,"RT @SportsTalkBarry: Dak pulled down his pants, squatted over Garrett's unconscious body and yelled, ""CLAP ABOUT THIS F*GGOT!!"" before unle…"
708,"Mumbai, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
709,"Edinburgh, Scotland",Tory Tsunami of misery in every level of human existence......
710,"Anchorage, Alaska",Kodiak officials say nearly half of the city's aging tsunami warning sirens are not working. https://t.co/HigU29QiQe
711,"New York, USA 🇺🇸",RT @ktva: Kodiak officials say nearly half of the city's aging tsunami warning sirens are not working. https://t.co/HigU29QiQe
712,"Delhi, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
713,India,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
714,Lagos,RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
715,"Las Vegas, NV","RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
716,"Ibadan, Nigeria","RT @Zeed1st: 🏄‍♂️Dear Friends

🕺Let's enjoy this Tsunami
🎼Gain f0ll0wers🏃‍♂️

🏂Retweet &amp; like
🍎Follow Me🍏
🙋‍♂️MY follow back💯

❤️Comment IF…"
717,"Dallas, TX","RT @GingerNunya: The single BEST article re  opioid FACTS &amp; the truth of Andrew Kolodny
RT and spread the light of truth in the tsunami of…"
718,"ᴅᴇʀᴀ ɢʜᴀᴢɪ ᴋʜᴀɴ, ᴘᴀᴋɪsᴛᴀɴ","tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Ka… https://t.co/weRgPvzLU5"
719,भारत,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
720, Eastern CT,RT @conqueredbylove: @Bishopoftyler Archbishop Vigano is showing us the path of sainthood in a theological tsunami.  A rock star!  Thank yo…
721,UK,"RT @JayMitchinson: This doesn’t surprise me. I know just how brilliant Greg is. Worth pointing out, though, that journalism like this and j…"
722,"Washington, DC",Fellow #LoyalAntagonists doing great work: Is it possible to resurrect civility amid a tsunami of toxicity? This gr… https://t.co/sAX3EALKLL
723,Bayelsa,RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
724,Italia,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
725,Manchester,@OwenJones84 Surely it didn't beat the marketing signup tsunami of June 1832?
726,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
727,Every hot place,"RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
728,+60,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
729,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
730,🐤💚,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
731,Nigeria,RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
732,pl/eng,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
733,"Raipur , Chhattisgarh, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
734,Tuticorin,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
735,"Chandigarh, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
736,"Raipur , Chhattisgarh, India",RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
737,Kingdom of Saudi Arabia,"RT @gilmour_wendy: Saw first hand the ""billion tree tsunami"" today: reforestation is key in addressing climate change.  These saplings were…"
738,130,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
739,"Gloucestershire,england","As we come together in our locations around the UK for prayer this week, lets put on the whole armour of God. Ephes… https://t.co/bKhmE12A07"
740,London,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
741,"Göteborg, Sverige",RT @reactgroup: Free online course! Understand #AntibioticResistance and what actions are needed. Take this re-branded version of the cours…
742,"New Jersey, USA",RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
743,"univ ishan, NATION FIRST ","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
744,"Hyderabad, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
745,ओडिशा भारतीय जनता पार्टी ,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
746,"PC, PS4, XB1","I'm listening to ""Evil's"" by Tsunami Bros. on Pandora #pandora https://t.co/1EmwFyATB3"
747,District 9,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
748,West of the 5,@OmarJimenezCNN @ATLairport That 2020 messaging is going very well for Individual 1 and the Republicans. What do yo… https://t.co/Hu4oON49vN
749,Delhi,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
750,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
751,"West Virginia, USA","RT @Punished4bnAmom: I liked a @YouTube video https://t.co/GsoeehqAsY Tsunami of Glory LIVE with Keith Ellis, Diane Nutt &amp; Joshua Mills"
752,"Portland, OR",(from The pipeline would terminate in an export facility in southern Oregon on the North Spit in the Port of Coos B… https://t.co/eqLv4OuH4K
753,"Berkeley, CA","My answer to If two tsunamis collide, would they join together and become one big wave? https://t.co/v0FG9Redgr"
754,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
755,"Hitchin, England",@cliff39354328 @bigknightywhu @DebsP1612 @JohnEdge60 @CharmaineWHU @JoyboySj @uptonhammer @CHILT51 @KEVINRADFORD10… https://t.co/K8kQODYgz0
756,третья планета от солнца,"RT @mishtal: London 2018. I watch the whole argument. Jews were blamed for all the wars of the Middle East, including the Sunni/Shi'ite vio…"
757,"Karachi, Pakistan","RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
758,Uncut n Cuckin,"The GOP will have to *earn* civility. Trump regularly makes racist statements against black, hispanics, Native Amer… https://t.co/p9qSxb92v3"
759,Mumbai,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
760,Velaris.,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
761,Govt House,RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
762,"Salt Lake City,Utah",Sake juice boxes - complete with straw!  Only at Tsunami. https://t.co/MQKwhG4BFy
763,Dwarka ,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
764,Planet Earth,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
765,HOU ➡️ LA ➡️ HOU,HOLY SHIT its like @AsterAndIvy fused with Mustard Service. 2019 off to a great start!
766,On planet earth!,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
767,"Utah, USA","@zelphontheshelf @McconneyMichael Yeah, I can't find any source for that tsunami aid thing.  Find me the data for it and then we can talk."
768,"Karnataka, India","RT @atheist_delhi: @arvindgunasekar No Cong mla will win again ,seeing 55% vote firmly behind Cong - JDS alliance ...there is going to be a…"
769,Bangalore,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
770,"Ashland, KY, USA","A return to civility in the USA (throughout traditional and social media outlets, political and corporate leadershi… https://t.co/VMYLUQR4gy"
771,"Raleigh, NC",There are a lot of white people in this article.... https://t.co/mWzdjEkhVt
772,"Manhattan, NY","RT @Schuldensuehner: Gundlach is worried that if growth slows &amp; stocks slump, Treasury yields may actually rise given tsunami of debt marke…"
773,"Caen, France","RT @got_monberry: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue:…"
774,"New Delhi, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
775,곧 집이야,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
776,Delhi | Pondicherry,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
777,"Karachi, Pakistan","RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
778,"Jacksonville Beach, FL",RT @thymadre: HOLY SHIT its like @AsterAndIvy fused with Mustard Service. 2019 off to a great start! https://t.co/N3P95pDC1Z
779,"Vancouver, British Columbia","#Tsunami Information issued by #NTWC for M4.0 #quake 35 miles SW of Barter I., Alaska. https://t.co/xPVJg0VWNi"
780,"Yenagoa, Nigeria",RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
781,"Strong power, thank you","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
782,"New Delhi, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
783,"Sullivan, MO","“It’s not the difference of opinion on policy that makes us bitter,” Allred said. “But thinking they’re a bad perso… https://t.co/j49Tz7zWZN"
784,=✩17 / Canada / multifandom✩=,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
785,emo wannabe,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
786,"New York,  NY and New Delhi, India","RT @BB_Writes: :
How many unspoken words
have you stashed
inside your ribcage?
Each subject, a matchstick
Each verb, a wave...

Can you ima…"
787,"080618, got7 in berlin 💌","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
788,belgium,"RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
789,"Oahu, Hawaii",Ok. These are ramping up again.  Wonder what's up
790,India,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
791,"Mysore, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
792,"Juneau, AK",RT @ktva: Kodiak officials say nearly half of the city's aging tsunami warning sirens are not working. https://t.co/HigU29QiQe
793,"Mumbai, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
794,illinois,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
795,United States,Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. https://t.co/cseHK70P44
796,"Chicago, IL","RT @zelphontheshelf: In 2004, LDS leaders encouraged members to donate to their humanitarian fund to help victims of the tsunami. 

Members…"
797,United States,RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
798,"Goshen, IN",RT @MelissaFloBix: There are a lot of white people in this article.... https://t.co/mWzdjEkhVt
799,hyderabad,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
800,JIN'S CULT PARTY🤠,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
801,"Culpeper, VA","In #tsunami hit #Tohoku new adults recall hopes, victims：The Asahi Shimbun：The Asahi Shimbun https://t.co/Au830KQoZC"
802,"Bengaluru South, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
803,"Culpeper, VA",Seawalls may give false sense of security during a #tsunami https://t.co/cq2wMUaDYR
804,"West Bengal, India",RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
805,"Hinjilicut, India",RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
806,"Boedapest, Hongarije",AMEN!
807,"Bengaluru, Karnataka","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
808,san francisco,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
